day_nr,item_name,value,unit,pretty_item_name,pretty_val,day_name,dom,month
0,Precipitation Probability,4,%,Rain ,4 %,Fri,16th,Jun
0,Wind Speed,7,mph,Wind Speed ,7 mph,Fri,16th,Jun
0,Temperature,26,C, Temp,26°C,Fri,16th,Jun
0,Visibility,VG,,Visibility ,VG ,Fri,16th,Jun
0,Weather Type,3,,Weather Type ,3 ,Fri,16th,Jun
0,Max UV Index,4,,Max UV,4 ,Fri,16th,Jun
0,timestamp,2023-06-16 18:00:00,,timestamp ,Fri 16th Jun,Fri,16th,Jun
0,Wind Direction,SE,compass, Wind Direction,SE,Fri,16th,Jun
0,Feels Like Temperature,23,C, Feels ,23°C,Fri,16th,Jun
0,Wind Gust,11,mph,Wind Gust,11 mph,Fri,16th,Jun
0,Screen Relative Humidity,40,%,Humidity,40 %,Fri,16th,Jun
0,Precipitation Probability,4,%,Rain ,4 %,Fri,16th,Jun
0,Wind Speed,7,mph,Wind Speed ,7 mph,Fri,16th,Jun
0,Temperature,24,C, Temp,24°C,Fri,16th,Jun
0,Visibility,VG,,Visibility ,VG ,Fri,16th,Jun
0,Weather Type,7,,Weather Type ,7 ,Fri,16th,Jun
0,Max UV Index,1,,Max UV,1 ,Fri,16th,Jun
0,timestamp,2023-06-16 21:00:00,,timestamp ,Fri 16th Jun,Fri,16th,Jun
0,Wind Direction,E,compass, Wind Direction,E,Fri,16th,Jun
0,Feels Like Temperature,19,C, Feels ,19°C,Fri,16th,Jun
0,Wind Gust,16,mph,Wind Gust,16 mph,Fri,16th,Jun
0,Screen Relative Humidity,50,%,Humidity,50 %,Fri,16th,Jun
0,Precipitation Probability,4,%,Rain ,4 %,Fri,16th,Jun
0,Wind Speed,9,mph,Wind Speed ,9 mph,Fri,16th,Jun
0,Temperature,20,C, Temp,20°C,Fri,16th,Jun
0,Visibility,VG,,Visibility ,VG ,Fri,16th,Jun
0,Weather Type,7,,Weather Type ,7 ,Fri,16th,Jun
0,Max UV Index,0,,Max UV,0 ,Fri,16th,Jun
0,timestamp,2023-06-17 00:00:00,,timestamp ,Sat 17th Jun,Sat,17th,Jun
0,Wind Direction,E,compass, Wind Direction,E,Sat,17th,Jun
0,Feels Like Temperature,16,C, Feels ,16°C,Sat,17th,Jun
0,Wind Gust,13,mph,Wind Gust,13 mph,Sat,17th,Jun
0,Screen Relative Humidity,55,%,Humidity,55 %,Sat,17th,Jun
