day_nr,item_name,value,unit,pretty_item_name,pretty_val,day_name,dom,month
0,Feels Like Temperature,21,C, Feels ,21°C,Sat,10th,Jun
0,Wind Gust,18,mph,Wind Gust,18 mph,Sat,10th,Jun
0,Screen Relative Humidity,62,%,Humidity,62 %,Sat,10th,Jun
0,Precipitation Probability,7,%,Rain ,7 %,Sat,10th,Jun
0,Wind Speed,9,mph,Wind Speed ,9 mph,Sat,10th,Jun
0,Temperature,22,C, Temp,22°C,Sat,10th,Jun
0,Visibility,VG,,Visibility ,VG ,Sat,10th,Jun
0,Weather Type,7,,Weather Type ,7 ,Sat,10th,Jun
0,Max UV Index,0,,Max UV,0 ,Sat,10th,Jun
0,timestamp,2023-06-11 00:00:00,,timestamp ,Sun 11th Jun,Sun,11th,Jun
0,Wind Direction,E,compass, Wind Direction,E,Sun,11th,Jun
0,Feels Like Temperature,17,C, Feels ,17°C,Sun,11th,Jun
0,Wind Gust,18,mph,Wind Gust,18 mph,Sun,11th,Jun
0,Screen Relative Humidity,72,%,Humidity,72 %,Sun,11th,Jun
0,Precipitation Probability,6,%,Rain ,6 %,Sun,11th,Jun
0,Wind Speed,9,mph,Wind Speed ,9 mph,Sun,11th,Jun
0,Temperature,18,C, Temp,18°C,Sun,11th,Jun
0,Visibility,VG,,Visibility ,VG ,Sun,11th,Jun
0,Weather Type,7,,Weather Type ,7 ,Sun,11th,Jun
0,Max UV Index,0,,Max UV,0 ,Sun,11th,Jun
0,timestamp,2023-06-11 03:00:00,,timestamp ,Sun 11th Jun,Sun,11th,Jun
0,Wind Direction,ENE,compass, Wind Direction,ENE,Sun,11th,Jun
0,Feels Like Temperature,15,C, Feels ,15°C,Sun,11th,Jun
0,Wind Gust,16,mph,Wind Gust,16 mph,Sun,11th,Jun
0,Screen Relative Humidity,78,%,Humidity,78 %,Sun,11th,Jun
0,Precipitation Probability,4,%,Rain ,4 %,Sun,11th,Jun
0,Wind Speed,7,mph,Wind Speed ,7 mph,Sun,11th,Jun
0,Temperature,16,C, Temp,16°C,Sun,11th,Jun
0,Visibility,VG,,Visibility ,VG ,Sun,11th,Jun
0,Weather Type,7,,Weather Type ,7 ,Sun,11th,Jun
0,Max UV Index,0,,Max UV,0 ,Sun,11th,Jun
0,timestamp,2023-06-11 06:00:00,,timestamp ,Sun 11th Jun,Sun,11th,Jun
0,Wind Direction,ENE,compass, Wind Direction,ENE,Sun,11th,Jun
0,Feels Like Temperature,16,C, Feels ,16°C,Sun,11th,Jun
0,Wind Gust,11,mph,Wind Gust,11 mph,Sun,11th,Jun
0,Screen Relative Humidity,74,%,Humidity,74 %,Sun,11th,Jun
0,Precipitation Probability,2,%,Rain ,2 %,Sun,11th,Jun
0,Wind Speed,7,mph,Wind Speed ,7 mph,Sun,11th,Jun
0,Temperature,16,C, Temp,16°C,Sun,11th,Jun
0,Visibility,VG,,Visibility ,VG ,Sun,11th,Jun
0,Weather Type,3,,Weather Type ,3 ,Sun,11th,Jun
0,Max UV Index,1,,Max UV,1 ,Sun,11th,Jun
0,timestamp,2023-06-11 09:00:00,,timestamp ,Sun 11th Jun,Sun,11th,Jun
0,Wind Direction,E,compass, Wind Direction,E,Sun,11th,Jun
0,Feels Like Temperature,20,C, Feels ,20°C,Sun,11th,Jun
0,Wind Gust,11,mph,Wind Gust,11 mph,Sun,11th,Jun
0,Screen Relative Humidity,65,%,Humidity,65 %,Sun,11th,Jun
0,Precipitation Probability,5,%,Rain ,5 %,Sun,11th,Jun
0,Wind Speed,4,mph,Wind Speed ,4 mph,Sun,11th,Jun
0,Temperature,20,C, Temp,20°C,Sun,11th,Jun
0,Visibility,VG,,Visibility ,VG ,Sun,11th,Jun
0,Weather Type,7,,Weather Type ,7 ,Sun,11th,Jun
0,Max UV Index,4,,Max UV,4 ,Sun,11th,Jun
0,timestamp,2023-06-11 12:00:00,,timestamp ,Sun 11th Jun,Sun,11th,Jun
0,Wind Direction,E,compass, Wind Direction,E,Sun,11th,Jun
0,Feels Like Temperature,24,C, Feels ,24°C,Sun,11th,Jun
0,Wind Gust,13,mph,Wind Gust,13 mph,Sun,11th,Jun
0,Screen Relative Humidity,59,%,Humidity,59 %,Sun,11th,Jun
0,Precipitation Probability,4,%,Rain ,4 %,Sun,11th,Jun
